company_name,company_number
"Time Manufacturing Acquisition (UK) Limited",10560981
"Jumio UK Limited",10561447
"Hammonds Fitted Furniture Group Limited",10561795
"Red Ventures Limited",10562357
"Maison Estelle Limited",10564926
"David Lloyd Clubs Limited",10565274
"Effective Security Holdings Limited",10565277
"Danbro Employment Umbrella Ltd",10585274
"Robert Kukla Spedition UK Ltd",10567517
"Optilan Holdco 3 Limited",10567873
"Hi Bob (UK) Limited",10568577
"Eesl Energypro Assets Limited",10568873
"Canada Goose UK Retail Limited",10568936
"Crown Aggregates Ltd",10570161
"Mount Street Group Limited",10582560
"Blackbuck Acquisitions Limited",10584019
"North Bay Holdings Ltd",10584125
"RR Alden Group Limited",10584131
"Danbro Employment Umbrella Ltd",10585274
"Cortx Holdings Limited",10585680
"Saf Group Holdco Limited",10587968
"On Direct Group Limited",10588493
"Cschem Limited",10588794
"Trafalgar Workforce Solutions Limited",10589288
"Lemon Pepper Holdings Limited",10589672
"Acosta RH Limited",10589849
"Deep Sea Stavanger (UK) Ltd",10589853
"Deep Sea Atlantic (UK) Ltd",10589884
"Collins 2017 Limited",10589981
"Xtera Limited",10591225
"Unibond Seafood International Limited",10591352
"Mone Brothers Group Ltd",10591880
"Homes 2 Inspire Limited",10592680
"Cornerstone Ondemand UK Holdings Limited",10592838
"DWS Group Limited",10592910
"Cornerstone Ondemand International Limited",10593622
"Cornerstone Ondemand Europe Limited",10593722
"Panmure Liberum Group Limited",10593768
"Grant Store Limited",10594492
"Hopton Trading Holdings Limited",10594820
"Nviron Group Ltd",10594932
"Darta Yorkshire Ltd",10595430
"Noel Topco Limited",10595570
"Kwa Analytics Group Limited",10596017
"Canalside Fenny Ltd",10596787
"ABVR Holdings Limited",10597111
"FP Topco Limited",10598063
"Amtrex International Limited",10599648
"DPM BH Holdings Limited",10599833
"Dipwood Holdings Limited",10599949
"Recognise Bank Limited",10603119
"Travelopia Group Holdings Limited",10604770
"Tim Midco Limited",10605234
"Fello Holdings Limited",10607251
"Consolidated Timber Holdings Group Limited",10607497
"Eleva Capital Partners (UK) Limited",10607788
"Tedstone Holdings Limited",10607947
"BGF Investment Management Limited",10608481
"Tait Group International Limited",10608925
"Asahi Europe & International Ltd",10609034
"Convergence Holdings Limited",10609040
"First Mile Holdings Limited",10609682
"Anglo International Shipping Group Limited",10609727
"Goodfish Group Limited",10610457
"Asahi Premium Brands Ltd",10610536
"Mapleco1 Ltd",10610657
"Mick George Recycling Limited",10611481
"Snowflake Computing U.K. Limited",10611715
"Strada UK Professional Services Limited",10612354
"Lyma Life Limited",10613047
"Wise Group Holdings Limited",10613336
"NF Football Investments Limited",10613412
"Bark.Com Global Limited",10614196
"Quadgas Holdco Limited",10614254
"Japan Food Express Limited",10615325
"Quadgas Midco Limited",10615396
"Leeways Group Limited",10617652
"Core Communication Holdings Limited",10617689
"Metropolis Group Limited",10618673
"Auria Solutions UK I Ltd",10618887
"RGB Facades Limited",10619432
"Quadgas Finance Plc",10619488
"Food Hub Limited",10619783
"Breck Homes Limited",10621017
"Ciessem Investments Limited",10621028
"Greenshields JCB Holdings Limited",10621297
"Penketh Group Holdings Limited",10622184
"MMCG (2) Limited",10622354
"Grip UK Property Investments Limited",10623900
"Churchill Knight Umbrella Limited",10624123
"Colne Valley Mechanical Limited",10624605
"Lupfaw 445 Limited",10624646
"Zopa Group Plc",10624955
"The Hearing Care Partnership Limited",10625083
"McCoy Contractors Limited",10626135
"Smol Limited",10626548
"Gobion Construction Ltd",10626719
"M.F. Freeman Holdings Limited",10626915
"Zopa Bank Limited",10627575
"Fi Holdings Limited",10628677
"Magrock Group Limited",10629127
"Global Ports Holding Limited",10629250
"Breck Holdings Limited",10630285
"Baems Limited",10630643
"The Ethikos Group Ltd",10631183
"Nobel Midco Limited",10631201
"St Francis Group 2 Limited",10631485
"DSM SFG Group Holdings Limited",10631602
"Teg Holdings Limited",10632641
"Arjo UK Limited",10633160
"ABRDN European Logistics Income Plc",10632222
"Optio Group Limited",10632254
"Trailmix Ltd",10632446
"7F Trading Limited",10632898
"Principle Group Services Ltd",10633334
"Aykroyd And Sons Holdings Limited",10633657
"J. Hansam Estates Limited",10633747
"Emmi Desserts UK Limited",10633887
"Switchshop Holdings Limited",10633907
"Magseis FF (UK) Ltd",10634551
"Hudson Cis (GB) Limited",10634883
"Uol Services Limited",10635106
"Sand Castle Pictures Limited",10635465
"Bicycle Therapeutics Plc",10636004
"Bicycletx Limited",10636101
"GRC International Group Limited",10636180
"Booth Holdings Limited",10636457
"Pinnacle Topco Limited",10638720
"Pinnacle Bidco Plc",10638859
"G R Potter Holdings Limited",10639487
"Everflow Holdings Limited",10639542
"Hilton Grand Vacations Barbados Limited",10639548
"Red Brook Holdings Limited",10640394
"Gateway14 Limited",10641174
"Source Group International Holdings Limited",10642276
"Kpler Ltd",10642387
"Victoria Beckham Holdings Limited",10643864
"Hyperexponential Ltd",10644276
"Blue Orchid (Tower Suites) Limited",10644680
"Hotel (PL Property) Limited",10645249
"TCS Media Group Limited",10645637
"Lse Holdings Ltd",10646179
"Wisdomtree International Holdings Ltd",10646784
"HB UK Hold Co. Ltd",10647016
"WS Tanker Logistics Limited",10647958
"Harrogate Healthcare Facilities Management Limited",10648040
"Valuelights Holdings Limited",10648350
"Hudson Talent Solutions UK Limited",10649262
"Amazon Payments UK Limited",10649457
"Miller International Holdings Limited",10649869
"SGN Midco Limited",10650000
"Dura-Id Solutions Limited",10651129
"STM Group Holdings Ltd",10651546
"Via Novus Limited",10651639
"Height Topco Limited",10651903
"O&3 Limited",10652797
"Flender Limited",10653384
"Routes To Retail Limited",10653529
"Aioi Nissay Dowa Europe Limited",10654298
"E.On UK Heat Limited",10654698
"Fred. Olsen CBH Limited",10654701
"Elux Europe Ltd",10655274
"The Avocet Hardware Group Limited",10656301
"Grow Group Limited",10656972
"Europa Warehouse Limited",10657054
"Pullman Fleet Solutions Limited",10657057
"Europa Air & Sea Limited",10657063
"Ancala Water Services Midco2 Limited",10657102
"Healthcare Partners Limited",10658249
"Orange UK Holdings Limited",10658668
"CDH Matur Holdings Limited",10659072
"I-Logic Technologies UK Limited",10660687
"Gov Facility Services Limited",10661429
"The Bridge Community Care Limited",10661705
"Bolt Services UK Limited",10663356
"I-Logic Technologies Bidco Limited",10663542
"GS Em Limited",10663572
"County Oil Holdings Limited",10664535
"Chevin Group Holdings Limited",10664744
"Robert Pochin Holdings Limited",10664747
"Egbert Taylor Holdings Limited",10664970
"MXLG Acquisitions Limited",10665145
"Pearl Income Holdings UK Limited",10665839
"Ares MF UK Management Limited",10665864
"Apollo Credit Management International Limited",10666420
"Broadwick 1960 Company Limited",10666469
"Domain Registry Services Limited",10666643
"Ordet Limited",10667364
"Ticker Limited",10668409
"Reckitt Benckiser Health Limited",10669293
"Same Day Home Buyer Limited",10669316
"Inspired Finco Holdings Limited",10669994
"Smartflow Payments Limited",10670048
"Surrey Hills Trading Limited",10670392
"Everlight Radiology Limited",10670491
"Zara UK Holdco Limited",10671360
"Sumo Group Limited",10671913
"McMullen Facades Limited",10673163
"Alkra International Ltd",10673212
"Murphy & Son International Limited",10673300
"Brookfield Properties (UK Re) Limited",10673465
"Silverhook Holdings Limited",10673978
"John F Hunt Power Group Limited",10673996
"Vogue Sourcing Limited",10674230
"XTX Investments UK Limited",10674405
"Howard Tenens Logistics Limited",10674927
"DC Holdings (Lincoln) Limited",10676209
"Ghi Holdings Limited",10677970
"JM Properties & Investments Ltd",10678460
"Riot Labs Ltd",10678580
"Heni Holdings Limited",10678584
"Newgen Holdings Limited",10678979
"The Rat And Two Horses Limited",10679835
"Ancala Water Services Investco Limited",10679841
"Caddick Construction (NW) Limited",10679871
"Fat Hippo Group Limited",10679987
"The Feel Good Group (Holdings) Limited",10680199
"Corelink Rail Infrastructure Limited",10680223
"Riverstone Living Holdings Limited",10681627
"Leonard Cheshire Services Cic",10681820
"CRC New Energy (UK) Limited",10681865
"Encyclis Ireland Assets Limited",10682165
"Curious Universe UK Limited",10682233
"Vyta Health Holdings Limited",10682391
"RVLV UK Limited",10682406
"Grant Store Limited",10683182
"Ai Wertheimer Parentco UK Limited",10683865
"Downing Construction Ltd",10683933
"Cpoms Systems Limited",10684090
"HSS Proservice Limited",10684154
"Netloc Holdings Limited",10699179
"Specialist Risk Investments Limited",11099339
"The Roald Dahl Story Company Limited",11099347
"Telco Holdings UK (A) Limited",11099638
"Linden Wates (Barrow Gurney) Limited",11099713
"Smithbrewer Trading Limited",11099953
"Smith & Co (Holdings) Limited",11100290
"Alchemy Technology Services Limited",11100782
"IHL Tenant Holdco Limited",11100947
"Bridewell Consulting Limited",11101195
"Murphy Power Networks Limited",11101645
"Selfridges Manchester Limited",11101780
"Utilico Emerging Markets Trust Plc",11102129
"Park Properties Housing Association Ltd",11102291
"TXM Consult Limited",11102339
"Legal And General Assurance Society Limited",11102447
"Broadwick Live Limited",11103387
"Tulipland Potatoes Holdings Limited",11103640
"Plant Meat Limited",11104088
"Heylo Housing Group Limited",11104403
"Baram JTC Limited",11105229
"Aioi Nissay Dowa Insurance UK Limited",11105895
"Luxury British Design Holdings Limited",11106350
"Trueman Holdco Limited",11106461
"CC Group Services Limited",11108344
"Ginger Topco Limited",11108370
"Laminar Group Ltd",11108678
"TSD Holding Limited",11108726
"Ashley Chartering Limited",11108727
"Humber Gathering System Limited",11110577
"Tourstan Global Limited",11111042
