company_name,company_number
"W. Boyes & Co., Limited",00066251
"Hollingsworth & Vose Company Limited",00066266
"West Ham United Football Club Limited",00066516
"Tarmac Cement Limited",00066558
"Nicholls & Clarke Limited",00066664
"Harris Tobias Limited",00066810
"Howarth Timber Group Limited",00067025
"Tusk Corporation Limited",00067307
"Parlophone Records Limited",00068172
"Bostik Limited",00068328
"Stephenson Group Ltd",00068499
"Justerini & Brooks, Limited",00068576
"Svitzer Marine Limited",00069494
"Fyffes Group Limited",00070123
"Hiscox Insurance Company Limited",00070234
"Elliott Brothers (Builders Merchants) Limited",00070611
"Vi - Spring Limited",00071430
"William Croxson & Son, Limited",00071941
"R. S. Clare & Co., Limited",00072349
"John Wainwright & Co. Limited",00073151
"Salts Healthcare Limited",00074096
"Falkland Islands Company Limited",00074300
"Holmen Board And Paper Limited",00075035
"J. T. Ellis And Company Limited",00075269
"Jarrold & Sons Limited",00075278
"A.McLay And Company Limited",00075614
"Crerar Hotel Group Limited",00075625
"Tate Global Solutions Limited",00076119
"Tate & Lyle Public Limited Company",00076535
"Weir Minerals Europe Limited",00076959
"George Thurlow And Sons (Holdings) Limited",00077180
"Le Touquet Syndicate Limited",00077316
"Relx Plc",00077536
"Football Association Limited",00077797
"Quibell And Son (Holdings) Limited",00078400
"Carlsberg Marston's Brewing Company Limited",00078439
"Axa Insurance UK Plc",00078950
"Accord-UK Ltd",00079585
"ABF Grain Products Limited",00079590
"Arthur Branwell & Co. Limited",00079908
"Bomford Turner Limited",00080026
"Football League Limited (The)",00080612
"Newbury Racecourse Plc",00080774
"Brighton And Hove Albion Football Club, Limited (The)",00081077
"Incorporated Bishop's Stortford College Association (The)",00081130
"Sonoco Limited",00082196
"Petty, Wood & Co. Limited",00082419
"Reach Plc",00082548
"Renault U.K. Limited",00082932
"John Horsfall & Sons (Greetland), Limited",00083425
"London Symphony Orchestra Limited",00083608
"Procter & Gamble Limited",00083758
"Associated Newspapers Limited",00084121
"Arriva Yorkshire Limited",00084167
"Epc United Kingdom Limited",00084170
"The Wandsworth Group Limited",00084301
"TR Property Investment Trust Plc",00084492
"Michelin Tyre Public Limited Company",00084559
"Allianz Insurance Plc",00084638
"Fortnum & Mason Public Limited Company",00084909
"J. T. Dove, Limited",00085529
"Bells Power Solutions Ltd",00085951
"Chemring Group Plc",00086662
"TT Electronics Plc",00087249
"Intertek International Limited",00087587
"Clean Linen Services Limited",00087908
"R. E. A. Trading Plc",00088367
"Stuart Turner Limited",00088368
"Hill Biscuits Limited",00088544
"Chesnara Life (UK) Limited",00088695
"Pauls Malt Limited",00088929
"Goodall Bates & Todd Limited",00090220
"M & G Securities Limited",00090776
"The City Of Oxford Motor Services Limited",00091106
"Smith Brothers (Leicester) Limited",00091566
"Castings Public Limited Company",00091580
"Ideal Standard (UK) Limited",00091891
"3CL Realisations Limited",00091981
"Evonik Chemicals Limited",00092092
"Intact Insurance UK Limited",00093792
"T. J. Smith And Nephew, Limited",00093994
"Grace Foods UK Limited",00094632
"Manchester United Football Club Limited",00095489
"Bekaert Bradford UK Limited",00095908
"Fujitsu Services Limited",00096056
"Pearson Management Services Limited",00096263
"Richard Irvin & Sons Limited",00096281
"William Strike Limited",00096366
"John Good & Sons Limited",00096398
"Selfridges Retail Limited",00097117
"Lubricants UK Limited",00097216
"C W Fletcher & Sons Limited",00097913
"Fevara Plc",00098221
"Synthomer Plc",00098381
"Crane Limited",00098677
"Emanuel Whittaker Limited",00099243
"Waitrose Limited",00099405
"Harrods Beauty Limited",00099442
"Stoke City Football Club Limited",00099885
"Royal & Sun Alliance Reinsurance Limited",00100097
"Albert Browne Limited",00100305
"Roche Products Limited",00100674
"Balfour Beatty Group Limited",00101073
"BP P.L.C",00102498
"Golden Casket (Greenock) Limited",00102916
"Halfords Limited",00103161
"A & P Falmouth Limited",00103287
"Coats Group Plc",00103548
"Unisys Limited",00103709
"Air Products Public Limited Company",00103881
"Newell Brands UK Limited",00104102
"Watford Association Football Club Limited (The)",00104194
"Ovivo UK Limited",00104655
"Wherry And Sons, Limited",00104785
"Mercer Consulting Limited",00104851
"Caffyns Public Limited Company",00105664
"Murphy & Son Limited",00106442
"Lruk (Holdings) Limited",00106691
"Hotpoint UK Appliances Limited",00106725
"Charles Wells Limited",00106884
"St. Austell Brewery Company Limited",00107021
"Crossling Limited",00107189
"SKF (U.K.) Limited",00107367
"John Harrison (Stockton) Limited",00108064
"Cardiff City Football Club Limited",00109065
"The Arsenal Football Club Limited",00109244
"Beatson Clark Limited",00110186
"Lruk (Retail) Limited",00110433
"Tanners (Shrewsbury) Limited",00111232
"Andean LFMA Investment Limited",00111449
"Frank Wright Limited",00111524
"Brush Electrical Machines Limited",00111849
"Lookers Limited",00111876
"SHS International Ltd",00112075
"Bisichi Plc",00112155
"Newby Foundries Limited",00112453
"National Magazine Company Limited (The)",00112955
"Arriva Kent & Surrey Limited",00114841
"Legrand Electric Limited",00115834
"A. Bilbrough & Co. Limited",00116377
"William Gibbons & Sons, Limited",00116865
"Alfred Bagnall And Sons Limited",00117129
"Fibrax Limited",00117971
"Castle Leisure Ltd",00118558
"Novartis Pharmaceuticals UK Limited",00119006
"Joseph Parr Group Limited",00119432
"Samui Limited",00119473
"S. Lyles, Sons, & Co., Limited",00120255
"S. Jennings Limited",00120996
"Nestle Purina UK Manufacturing Operations Limited",00121700
"Swansea City Association Football Club Limited (The)",00123414
"Aah Pharmaceuticals Limited",00123458
"Ge Energy (UK) Limited",00123550
"Stagecoach (North West) Limited",00123665
"J. Barbour & Sons, Limited",00124201
"Warwick & Esplen Limited",00124299
"Bennett Opie, Limited",00124503
"Portmeirion Group Public Limited Company",00124842
"Mpac Group Plc",00124855
"Grainger Plc",00125575
"York Ward & Rowlatt Limited",00125935
