N & C Building Products Limited,00000140
Gresham House Limited,00000871
Cna Insurance Company Limited,00000950
City Of London Real Property Company Limited (The),00001160
Lloyds Bank Plc,00002065
Southampton Isle Of Wight And South Of England Royal Mail Steam Packet Company Limited,00002404
Pa Media Group Limited,00004197
Rio Tinto Western Holdings Limited,00007132
Stadco Limited,00008614
Singleton Birch Limited,00009433
Brookmann Home Manchester 1877 Ltd,00011136
Berthon Boat Company Limited,00011785
Godiva Limited,00011943
Reflex Plus Ltd,00012592
F&C Investment Trust Plc,00012901
HSBC Bank Plc,00014259
High Gosforth Park Limited,00014667
The Prudential Assurance Company Limited,00015454
Jpmorgan American Investment Trust Plc,00015543
Siemens Mobility Limited,00016033
Colart UK Limited,00016193
Chubb International Holdings Limited,00017652
United Learning Ltd,00018582
Newsquest Community Media Limited,00019300
PZ Cussons Plc,00019457
Bibby Marine Limited,00020535
The Mercantile Investment Trust Plc,00020537
Aviva International Insurance Limited,00021487
Hunters & Frankau Limited,00022169
The Queen's Club Limited,00023072
Diageo Plc,00023307
Jpmorgan Global Growth & Income Plc,00024299
Greene King Limited,00024511
Mitchells & Butlers Retail Limited,00024542
Ecclesiastical Insurance Office Public Limited Company,00024869
First West Of England Limited,00025088
The Henderson Smaller Companies Investment Trust Plc,00025526
Molson Coors Brewing Company (UK) Limited,00026018
Wilkin & Sons Limited,00026233
Moeve Chemicals UK Limited,00026281
Hanson Packed Products Limited,00026306
The Bankers Investment Trust Plc,00026351
Esso Petroleum Company Limited,00026538
Coca-Cola Europacific Partners Great Britain Limited,00027173
Birmingham City Football Club Limited,00027318
The Boots Company Plc,00027657
Antofagasta Railway Company Plc,00027767
Calder Industrial Materials Limited,00028073
Avi Global Trust Plc,00028203
The Global Smaller Companies Trust Plc,00028264
Merchants Trust Plc (The),00028276
Lister & Co. Public Limited Company,00028296
Sarpsfoss Limited,00028930
Claridge's Hotel Limited,00029022
Allegion (UK) Limited,00029131
Unilever U.K. Central Resources Limited,00029140
Brother U.K. Limited,00029301
Wilkinson Sword Limited,00029311
Whitbread Group Plc,00029423
Camellia Public Limited Company,00029559
Emerson Automation Solutions Final Control UK Ltd,00030037
Wadworth And Company Limited,00030177
Harrods Limited,00030209
James Cropper Public Limited Company,00030226
The Law Debenture Corporation P.L.C,00030397
Roberts, Mart & Co. Limited,00030635
Newcastle United Football Company Limited,00031014
Adnams Plc,00031114
Marston's Plc,00031461
Richardson Maltings Limited,00031801
Young & Co's Brewery Plc,00032762
Avon Technologies Plc,00032965
Trent College Limited,00032983
Wheelabrator Group Limited,00033672
